0.012468	144
0.037403	384
0.062339	593
0.087274	934
0.11221	1031
0.13715	1114
0.16208	1269
0.18702	1413
0.21195	1420
0.23689	1487
0.26182	1462
0.28676	1567
0.31169	1640
0.33663	1689
0.36157	1743
0.3865	1733
0.41144	1755
0.43637	1784
0.46131	1919
0.48624	1896
0.51118	2022
0.53611	2000
0.56105	2002
0.58598	2034
0.61092	2018
0.63586	2063
0.66079	2006
0.68573	1993
0.71066	2151
0.7356	2244
0.76053	2257
0.78547	2444
0.8104	2625
0.83534	2765
0.86028	2954
0.88521	3174
0.91015	3359
0.93508	3009
0.96002	2318
0.98495	1034
