0.012469	100
0.037406	304
0.062344	471
0.087282	648
0.11222	837
0.13716	990
0.16209	1130
0.18703	1198
0.21197	1333
0.23691	1406
0.26185	1437
0.28678	1491
0.31172	1655
0.33666	1551
0.3616	1730
0.38653	1713
0.41147	1786
0.43641	1863
0.46135	1916
0.48628	2017
0.51122	2120
0.53616	2157
0.5611	2277
0.58603	2448
0.61097	2500
0.63591	2541
0.66085	2748
0.68578	2884
0.71072	2929
0.73566	3114
0.7606	3200
0.78554	3328
0.81047	3713
0.83541	3963
0.86035	4322
0.88529	4829
0.91022	5796
0.93516	6088
0.9601	7002
0.98504	6679
